topic_id,subtopic,seed_tokens,n_matched_questions,top_cooccurring_tokens
AGEO,Tangent to a circle,tangent; circle,68,determine:21; centre:20; equation:18; diagram:18; points:16; form:15; drawn:14; point:13; through:13; passing:11; prove:11; chord:10; reasons:10; line:8; calculate:8
TRIG,Compound and double angle identities,compound; double; angle; identities,5,determine:3; through:1; axis:1; positive:1; equation:1; form:1; makes:1; write:1; line:1; slab:1; further:1; concrete:1; intermsof:1; areaof:1; aakf:1
TRIG,Reduction formulae,reduction; formulae,0,
TRIG,Trigonometric equations (general solution),trigonometric; equations; general; solution,21,determine:11; sin:8; following:7; cos:7; expression:6; cosx:6; term:5; write:5; down:4; tan:4; pattern:3; form:3; simplify:3; asymptotes:2; value:2
TRIG,Trigonometric graphs,trigonometric; graphs,19,point:7; determine:6; expression:6; cos:5; sin:5; following:4; turning:3; sketched:3; intercept:3; axis:3; below:3; interval:3; value:3; simplify:3; tan:3
TRIG,"Sine, cosine and area rules",sine; cosine; area; rules,34,sheet:20; aabc:19; cos:19; sinc:18; information:18; sinb:18; sina:18; sin:18; calculate:16; cosa:16; tan:12; sna:10; alr:9; atbx:8; mxt:8
TRIG,2D and 3D trigonometric problems,trigonometric; problems,6,expression:6; cos:5; following:4; sin:4; simplify:3; tan:3; calculator:2; using:2; one:2; single:2; cosx:2; ratio:2; value:1; determine:1; term:1
EUCL,Circle geometry theorems,circle; geometry; theorems,50,centre:20; tangent:18; diagram:17; points:16; determine:14; drawn:13; form:12; through:12; equation:11; passing:11; prove:11; reasons:10; chord:9; point:9; calculate:7
EUCL,Cyclic quadrilaterals,cyclic; quadrilaterals,7,quadrilateral:7; diagram:3; prove:2; give:2; reason:2; produced:2; below:2; meets:2; scdb:1; abde:1; pts:1; pqrt:1; tangent:1; two:1; equal:1
EUCL,Tangents to a circle,tangents; circle,51,centre:20; tangent:18; diagram:17; points:16; determine:15; drawn:13; form:12; through:12; equation:11; passing:11; prove:11; reasons:10; chord:9; point:9; calculate:7
EUCL,Similarity and proportionality,similarity; proportionality,0,
EUCL,Midpoint theorem,midpoint; theorem,10,diagram:9; states:8; prove:7; centre:6; drawn:6; circle:6; tangent:4; line:4; chords:3; points:3; use:2; aabc:2; sides:2; isa:2; through:2
EUCL,Pythagoras (proof and application),pythagoras; proof; application,1,sheet:1; area:1; aade:1; partially:1; heights:1; construct:1; siusmusmaasnis:1; aabc:1; states:1; areaaade:1; adeb:1; ccsesscsserreceranees:1; aan:1; complete:1; line:1
