year,session,paper,doc_type,language,document_id,source_url,local_path,collection_status,verified,notes
2018,Nov,P2,exam,Eng,2018_nov_p2_exam_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=ABGQ68K1-V0%3d&tabid=2268&portalid=0&mid=8402,data/raw/exams/2018_nov_p2_exam_maths.pdf,owned,yes,NSC Nov 2018 P2 exam
2018,Nov,P1,memo,Eng,2018_nov_p1_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=oaZUa6tkOeI%3d&tabid=2268&portalid=0&mid=8402,data/raw/memos/2018_nov_p1_memo_maths.pdf,owned,yes,NSC Nov 2018 P1 memo
2018,Nov,P2,memo,Eng,2018_nov_p2_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=JGqaMbWx7XA%3d&tabid=2268&portalid=0&mid=8402,data/raw/memos/2018_nov_p2_memo_maths.pdf,owned,yes,NSC Nov 2018 P2 memo
2018,—,—,diagnostic,Eng,2018_maths_diagnostic_part1,https://www.education.gov.za/LinkClick.aspx?fileticket=WLMCRy84Zj4%3d&tabid=92&portalid=0&mid=4359,data/raw/diagnostic_reports/2018_maths_diagnostic_part1.pdf,owned,yes,NSC 2018 Diagnostic Report Part 1 Non-Languages
2017,Nov,P1,exam,Eng,2017_nov_p1_exam_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=9bzKRinovqI%3d&tabid=1856&portalid=0&mid=7350,data/raw/exams/2017_nov_p1_exam_maths.pdf,owned,yes,NSC Nov 2017 P1 exam
2017,Nov,P2,exam,Eng,2017_nov_p2_exam_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=keSfPGPlEAg%3d&tabid=1856&portalid=0&mid=7350,data/raw/exams/2017_nov_p2_exam_maths.pdf,owned,yes,NSC Nov 2017 P2 exam
2017,Nov,P1,memo,Eng,2017_nov_p1_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=zp4zBOSLW0Q%3d&tabid=1856&portalid=0&mid=7350,data/raw/memos/2017_nov_p1_memo_maths.pdf,owned,yes,NSC Nov 2017 P1 memo
2017,Nov,P2,memo,Eng,2017_nov_p2_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=BvPSes02Sn4%3d&tabid=1856&portalid=0&mid=7350,data/raw/memos/2017_nov_p2_memo_maths.pdf,owned,yes,NSC Nov 2017 P2 memo
2017,—,—,diagnostic,Eng,2017_maths_diagnostic_part1,https://www.education.gov.za/LinkClick.aspx?fileticket=c4uOac3jwP4%3d&tabid=92&portalid=0&mid=4359,data/raw/diagnostic_reports/2017_maths_diagnostic_part1.pdf,owned,yes,NSC 2017 Diagnostic Report Part 1
2016,Nov,P1,exam,Eng,2016_nov_p1_exam_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=Mf2vXwdMvgs%3d&tabid=1508&portalid=0&mid=6179,data/raw/exams/2016_nov_p1_exam_maths.pdf,owned,yes,NSC Nov 2016 P1 exam
2016,Nov,P2,exam,Eng,2016_nov_p2_exam_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=z8L8L6YJt7k%3d&tabid=1508&portalid=0&mid=6179,data/raw/exams/2016_nov_p2_exam_maths.pdf,owned,yes,NSC Nov 2016 P2 exam
