year,paper,question_number,avg_performance_pct,topic_v2,source,source_page
2023,P1,5,32,FUNC,manual,
2023,P1,6,48,FIN,manual,
2023,P1,7,66,CALC,manual,
2023,P1,8,47,CALC,manual,
2023,P1,9,26,CALC,manual,
2023,P1,10,30,PROB,manual,
2023,P2,1,84,STAT,manual,
2023,P2,2,50,STAT,manual,
2023,P2,3,63,AGEO,manual,
2023,P2,4,59,AGEO,manual,
2023,P2,5,42,TRIG,manual,
2023,P2,6,34,TRIG,manual,
2023,P2,7,43,TRIG,manual,
2023,P2,8,60,EUCL,manual,
2023,P2,9,44,EUCL,manual,
2023,P2,10,18,EUCL,manual,
2024,P1,1,69,ALG,manual,
2024,P1,2,56,SEQ,manual,
2024,P1,3,40,SEQ,manual,
2024,P1,4,60,FUNC,manual,
2024,P1,5,42,FUNC,manual,
2024,P1,6,44,FUNC,manual,
2024,P1,7,40,FIN,manual,
2024,P1,8,68,CALC,manual,
2024,P1,9,34,CALC,manual,
2024,P1,10,23,CALC,manual,
2024,P1,11,40,PROB,manual,
2024,P1,12,33,PROB,manual,
2024,P2,1,61,STAT,manual,
2024,P2,2,41,STAT,manual,
2024,P2,3,57,AGEO,manual,
2024,P2,4,62,AGEO,manual,
2024,P2,5,48,TRIG,manual,
2024,P2,6,45,TRIG,manual,
2024,P2,7,35,TRIG,manual,
2024,P2,8,40,EUCL,manual,
2024,P2,9,51,EUCL,manual,
2024,P2,10,32,EUCL,manual,
2024,P2,11,33,EUCL,manual,
2025,P1,1,67,,manual,
2025,P1,2,53,,manual,
2025,P1,3,69,,manual,
2025,P1,4,58,,manual,
2025,P1,5,53,,manual,
2025,P1,6,14,,manual,
2025,P1,7,39,,manual,
2025,P1,8,81,,manual,
2025,P1,9,40,,manual,
2025,P1,10,25,,manual,
2025,P1,11,25,,manual,
2025,P2,1,74,,manual,
2025,P2,2,40,,manual,
2025,P2,3,70,,manual,
2025,P2,4,53,,manual,
2025,P2,5,58,,manual,
2025,P2,6,33,,manual,
2025,P2,7,36,,manual,
2025,P2,8,41,,manual,
2025,P2,9,70,,manual,
2025,P2,10,52,,manual,
2025,P2,11,29,,manual,
